latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.625,77.25,231.0,0,GMT,GMT

time,temperature_2m (°C),relativehumidity_2m (%),precipitation_probability (%),precipitation (mm),rain (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),evapotranspiration (mm),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),windspeed_80m (km/h),windspeed_120m (km/h),windspeed_180m (km/h),winddirection_10m (°),winddirection_80m (°),winddirection_120m (°),winddirection_180m (°),windgusts_10m (km/h),temperature_80m (°C),temperature_120m (°C),temperature_180m (°C)
2023-05-31T00:00,22.6,89,77,0.00,0.00,2,980.0,0,0,0,0,0.02,0.00,0.30,2.9,6.5,8.7,11.8,360,357,7,20,12.6,21.9,21.8,21.8
2023-05-31T01:00,22.8,86,81,0.00,0.00,0,980.6,0,0,0,0,0.02,0.03,0.39,3.4,6.5,10.2,14.4,108,93,82,77,9.0,21.9,21.6,21.5
2023-05-31T02:00,24.2,78,86,0.00,0.00,0,981.2,0,0,0,0,0.06,0.16,0.66,6.9,8.8,9.1,12.3,171,168,171,140,16.6,22.8,22.1,21.7
2023-05-31T03:00,26.2,69,90,0.00,0.00,1,981.8,23,23,0,0,0.11,0.31,1.05,9.1,11.6,12.3,12.6,187,187,185,185,21.6,24.2,23.5,22.7
2023-05-31T04:00,28.1,62,61,0.00,0.00,1,982.3,17,17,0,0,0.16,0.46,1.44,8.4,10.5,10.9,11.2,187,186,186,186,22.0,25.8,25.1,24.2
2023-05-31T05:00,30.1,54,32,0.00,0.00,2,982.4,59,47,15,0,0.21,0.59,1.96,9.2,11.6,11.9,12.2,206,206,205,204,22.7,27.4,26.7,25.8
2023-05-31T06:00,29.3,57,3,0.00,0.00,2,982.3,47,47,1,1,0.24,0.58,1.75,8.5,10.8,11.1,11.4,216,217,216,215,29.2,26.5,25.7,24.8
2023-05-31T07:00,29.9,55,2,0.30,0.00,80,981.8,64,63,2,1,0.30,0.61,1.90,7.4,8.9,9.2,9.4,231,230,228,227,26.6,27.1,26.4,25.5
2023-05-31T08:00,30.3,53,1,0.10,0.00,2,981.0,69,56,29,0,0.28,0.60,2.03,8.9,11.5,11.7,11.7,230,229,227,227,25.6,27.5,26.8,25.9
2023-05-31T09:00,30.2,52,0,0.10,0.00,2,980.7,74,65,12,0,0.25,0.54,2.06,10.9,14.8,15.3,15.3,243,241,240,240,29.9,27.7,26.9,26.1
2023-05-31T10:00,30.3,52,0,0.20,0.00,80,980.0,100,55,24,100,0.25,0.51,2.07,11.2,15.0,15.5,15.8,249,249,248,249,32.4,27.9,27.1,26.3
2023-05-31T11:00,29.6,55,0,0.10,0.00,3,979.9,94,59,10,82,0.21,0.38,1.86,10.8,15.2,15.5,15.8,249,248,248,249,34.2,27.6,26.9,26.1
2023-05-31T12:00,27.8,63,0,0.80,0.00,95,979.9,100,39,0,100,0.18,0.21,1.38,7.7,10.9,11.3,11.3,281,279,279,279,32.8,26.3,25.6,24.7
2023-05-31T13:00,27.0,68,0,0.30,0.00,80,980.4,20,19,0,3,0.11,0.11,1.14,6.6,9.5,9.9,10.2,283,281,280,280,28.8,25.9,25.2,24.4
2023-05-31T14:00,26.3,71,0,0.00,0.00,0,981.1,0,0,0,0,0.06,0.04,0.99,6.0,11.2,11.9,12.1,287,285,284,282,16.9,25.6,24.9,24.1
2023-05-31T15:00,25.6,77,0,0.00,0.00,0,982.0,0,0,0,0,0.04,0.01,0.75,4.8,10.7,12.0,12.3,318,315,314,308,14.0,25.0,24.4,23.7
2023-05-31T16:00,25.0,81,0,0.00,0.00,0,982.5,0,0,0,0,0.03,0.00,0.60,5.0,12.1,14.7,14.7,339,337,335,329,11.9,24.5,24.0,23.6
2023-05-31T17:00,24.5,84,0,0.00,0.00,0,982.5,0,0,0,0,0.02,0.00,0.49,4.4,11.5,14.4,14.5,9,4,360,354,11.9,24.2,23.8,23.4
2023-05-31T18:00,23.8,86,0,0.00,0.00,0,981.7,0,0,0,0,0.01,0.00,0.41,3.3,9.6,12.4,12.6,13,13,10,3,10.1,23.5,23.2,22.8
2023-05-31T19:00,23.4,88,0,0.00,0.00,0,981.3,0,0,0,0,0.01,0.00,0.35,3.6,10.2,12.7,11.1,45,39,35,25,7.9,23.3,23.1,22.8
2023-05-31T20:00,23.1,89,0,0.00,0.00,0,980.5,0,0,0,0,0.01,0.00,0.31,3.8,11.0,13.2,11.1,49,49,45,36,8.6,22.9,22.9,22.7
2023-05-31T21:00,22.7,90,0,0.00,0.00,0,980.6,0,0,0,0,0.01,0.00,0.28,4.6,12.5,15.3,13.2,51,51,49,43,10.4,22.5,22.7,22.6
2023-05-31T22:00,22.4,91,0,0.00,0.00,0,980.3,0,0,0,0,0.01,0.00,0.24,4.9,13.7,17.7,16.4,54,55,52,50,11.5,22.2,22.5,22.4
2023-05-31T23:00,22.3,92,0,0.00,0.00,1,981.1,39,0,36,6,0.01,0.00,0.21,3.6,11.7,16.1,15.8,37,45,48,45,11.5,22.1,22.2,22.4
2023-06-01T00:00,21.8,93,0,0.00,0.00,3,980.7,46,0,37,15,0.01,0.00,0.18,3.6,9.8,13.8,13.7,6,24,33,30,10.1,21.7,21.9,22.5
2023-06-01T01:00,22.2,91,0,0.00,0.00,1,981.5,28,0,28,0,0.01,0.03,0.24,3.6,7.8,9.8,10.4,323,347,6,2,9.7,21.6,21.9,22.6
2023-06-01T02:00,23.7,83,0,0.00,0.00,0,982.1,5,0,5,0,0.04,0.15,0.50,2.9,3.4,4.5,7.0,300,302,331,339,9.4,22.3,21.8,22.6
2023-06-01T03:00,25.7,71,0,0.00,0.00,3,982.4,100,0,0,100,0.09,0.28,0.96,4.7,5.6,6.0,6.6,293,297,295,299,13.3,23.9,23.2,22.4
2023-06-01T04:00,27.8,61,0,0.00,0.00,1,982.4,13,0,0,13,0.15,0.44,1.46,4.5,5.2,5.5,5.5,284,286,281,281,15.1,25.6,24.9,24.0
2023-06-01T05:00,29.8,51,0,0.00,0.00,2,982.0,50,0,0,50,0.22,0.59,2.05,5.7,7.2,7.5,7.6,288,288,287,289,16.9,27.3,26.6,25.7
2023-06-01T06:00,29.9,52,0,0.00,0.00,3,981.6,100,0,93,100,0.26,0.60,2.02,3.4,4.7,4.7,4.7,252,247,247,247,16.9,27.5,26.8,25.9
2023-06-01T07:00,31.2,48,0,0.00,0.00,3,981.0,90,0,87,63,0.26,0.56,2.35,5.7,7.3,7.4,7.4,252,250,247,247,17.6,28.7,28.0,27.1
2023-06-01T08:00,32.0,46,0,0.00,0.00,3,980.4,89,0,82,75,0.26,0.59,2.56,5.5,7.0,7.1,7.2,259,258,255,252,17.3,29.6,28.8,27.9
2023-06-01T09:00,32.4,45,0,0.00,0.00,3,979.5,89,0,89,0,0.23,0.52,2.67,8.0,10.7,11.0,11.1,262,258,259,257,23.0,30.0,29.3,28.4
2023-06-01T10:00,32.8,45,0,0.00,0.00,1,978.5,34,0,34,0,0.22,0.53,2.73,6.6,8.7,9.1,9.1,257,253,252,252,23.8,30.4,29.7,28.8
2023-06-01T11:00,32.8,45,0,0.00,0.00,1,977.9,33,33,0,0,0.21,0.45,2.73,6.6,9.0,9.1,9.1,257,254,252,252,19.4,30.7,30.0,29.2
2023-06-01T12:00,31.4,49,0,0.30,0.00,80,978.3,34,34,0,0,0.20,0.29,2.34,6.4,8.6,8.6,8.6,286,285,285,285,22.7,29.8,29.1,28.3
2023-06-01T13:00,30.5,52,0,0.00,0.00,3,978.7,100,18,0,100,0.13,0.15,2.09,7.0,11.9,11.9,11.9,305,305,305,305,18.7,29.5,28.9,28.0
2023-06-01T14:00,29.1,57,0,0.00,0.00,3,979.9,100,0,77,100,0.08,0.08,1.73,7.8,18.5,21.8,22.3,304,307,309,309,19.4,28.6,28.1,27.3
2023-06-01T15:00,28.1,64,0,0.00,0.00,3,980.1,100,0,100,100,0.06,0.03,1.37,5.9,16.7,22.1,23.7,284,289,292,294,18.7,27.7,27.4,26.8
