time,temperature_2m,relativehumidity_2m,precipitation,cloudcover,et0_fao_evapotranspiration
2023-08-24T00:00,21.2,100.0,0.0,100.0,0.0
2023-08-24T01:00,21.3,99.0,0.0,100.0,0.01
2023-08-24T02:00,22.4,99.0,0.0,100.0,0.06
2023-08-24T03:00,23.8,90.0,0.0,100.0,0.13
2023-08-24T04:00,25.0,83.0,0.0,100.0,0.25
2023-08-24T05:00,26.4,78.0,0.0,100.0,0.36
2023-08-24T06:00,27.0,76.0,0.0,100.0,0.35
2023-08-24T07:00,27.0,78.0,0.1,65.0,0.35
2023-08-24T08:00,27.7,77.0,0.1,74.0,0.45
2023-08-24T09:00,27.7,78.0,0.3,63.0,0.38
2023-08-24T10:00,27.2,79.0,1.1,70.0,0.34
2023-08-24T11:00,26.1,81.0,1.1,81.0,0.23
2023-08-24T12:00,25.5,84.0,0.4,65.0,0.14
2023-08-24T13:00,25.0,88.0,0.1,35.0,0.04
2023-08-24T14:00,24.4,93.0,0.0,100.0,0.02
2023-08-24T15:00,24.0,95.0,0.1,100.0,0.0
2023-08-24T16:00,23.7,96.0,0.4,100.0,0.0
2023-08-24T17:00,23.3,98.0,0.3,96.0,0.0
2023-08-24T18:00,23.1,98.0,0.4,100.0,0.0
2023-08-24T19:00,23.1,96.0,0.2,100.0,0.0
2023-08-24T20:00,22.8,97.0,0.1,100.0,0.0
2023-08-24T21:00,22.5,98.0,0.1,86.0,0.0
2023-08-24T22:00,22.4,98.0,0.0,92.0,0.0
2023-08-24T23:00,22.4,97.0,0.0,85.0,0.0
2023-08-25T00:00,23.0,93.0,0.0,57.0,0.0
2023-08-25T01:00,23.1,93.0,0.0,26.0,0.01
2023-08-25T02:00,24.0,90.0,0.0,26.0,0.08
2023-08-25T03:00,24.9,85.0,0.0,40.0,0.2
2023-08-25T04:00,26.2,79.0,0.1,74.0,0.32
2023-08-25T05:00,26.9,77.0,0.1,50.0,0.35
2023-08-25T06:00,27.8,74.0,0.1,36.0,0.47
2023-08-25T07:00,28.6,72.0,0.2,46.0,0.47
2023-08-25T08:00,28.3,73.0,0.4,47.0,0.45
2023-08-25T09:00,27.7,77.0,0.4,79.0,0.38
2023-08-25T10:00,27.7,77.0,0.2,52.0,0.33
2023-08-25T11:00,27.3,79.0,0.2,41.0,0.26
2023-08-25T12:00,26.9,81.0,0.1,63.0,0.15
2023-08-25T13:00,26.0,84.0,0.3,78.0,0.05
2023-08-25T14:00,25.5,89.0,0.2,67.0,0.02
2023-08-25T15:00,24.9,93.0,0.3,47.0,0.0
2023-08-25T16:00,24.5,92.0,0.8,45.0,0.0
2023-08-25T17:00,23.9,96.0,0.4,47.0,0.0
2023-08-25T18:00,23.7,96.0,0.1,47.0,0.0
2023-08-25T19:00,23.5,97.0,0.1,50.0,0.0
2023-08-25T20:00,23.3,96.0,0.1,31.0,0.0
2023-08-25T21:00,24.3,90.0,0.0,43.0,0.0
2023-08-25T22:00,23.5,94.0,0.4,100.0,0.0
2023-08-25T23:00,22.9,98.0,0.2,100.0,0.0
2023-08-26T00:00,22.8,96.0,0.0,59.0,0.0
2023-08-26T01:00,22.8,96.0,0.0,37.0,0.02
2023-08-26T02:00,24.2,88.0,0.0,19.0,0.07
2023-08-26T03:00,25.4,82.0,0.0,21.0,0.2
2023-08-26T04:00,26.6,77.0,0.0,29.0,0.35
2023-08-26T05:00,27.5,72.0,0.0,31.0,0.39
2023-08-26T06:00,28.1,70.0,0.0,48.0,0.45
2023-08-26T07:00,27.6,76.0,0.5,58.0,0.54
2023-08-26T08:00,28.0,79.0,0.1,65.0,0.42
2023-08-26T09:00,27.7,80.0,0.8,71.0,0.39
2023-08-26T10:00,26.1,84.0,0.7,59.0,0.26
2023-08-26T11:00,26.3,83.0,0.1,32.0,0.24
2023-08-26T12:00,26.0,82.0,0.0,26.0,0.1
2023-08-26T13:00,25.6,86.0,0.1,26.0,0.05
2023-08-26T14:00,25.1,88.0,0.0,20.0,0.02
2023-08-26T15:00,25.4,83.0,0.0,24.0,0.0
2023-08-26T16:00,25.0,86.0,0.0,20.0,0.0
2023-08-26T17:00,24.7,86.0,0.0,14.0,0.0
2023-08-26T18:00,24.5,86.0,0.0,12.0,0.0
2023-08-26T19:00,23.9,90.0,0.1,22.0,0.0
2023-08-26T20:00,22.7,92.0,0.0,20.0,0.0
2023-08-26T21:00,22.0,93.0,0.0,29.0,0.0
2023-08-26T22:00,21.2,96.0,0.0,19.0,0.0
2023-08-26T23:00,20.6,97.0,0.0,11.0,0.0
2023-08-27T00:00,20.3,97.0,0.0,8.0,0.0
2023-08-27T01:00,20.7,96.0,0.0,5.0,0.01
2023-08-27T02:00,23.6,91.0,0.0,17.0,0.08
2023-08-27T03:00,25.6,82.0,0.0,40.0,0.22
2023-08-27T04:00,26.4,77.0,0.1,49.0,0.34
2023-08-27T05:00,27.0,73.0,0.1,47.0,0.41
2023-08-27T06:00,27.9,69.0,0.1,42.0,0.55
2023-08-27T07:00,28.6,67.0,0.1,30.0,0.54
2023-08-27T08:00,28.9,65.0,0.1,36.0,0.54
2023-08-27T09:00,28.7,66.0,0.2,27.0,0.49
2023-08-27T10:00,28.1,69.0,0.1,33.0,0.36
2023-08-27T11:00,27.9,71.0,0.2,23.0,0.31
2023-08-27T12:00,27.3,75.0,0.1,24.0,0.15
