time,temperature_2m,relativehumidity_2m,precipitation,cloudcover,et0_fao_evapotranspiration
2023-09-06T00:00,25.5,79,0.0,58,0.0
2023-09-06T01:00,25.0,80,0.0,64,0.0
2023-09-06T02:00,24.7,80,0.0,51,0.0
2023-09-06T03:00,24.3,80,0.0,45,0.0
2023-09-06T04:00,24.0,79,0.0,47,0.0
2023-09-06T05:00,23.7,78,0.0,0,0.0
2023-09-06T06:00,23.6,79,0.0,36,0.03
2023-09-06T07:00,25.3,78,0.0,17,0.09
2023-09-06T08:00,29.0,71,0.0,9,0.25
2023-09-06T09:00,31.0,55,0.0,0,0.43
2023-09-06T10:00,32.2,50,0.0,8,0.57
2023-09-06T11:00,31.9,53,0.0,35,0.64
2023-09-06T12:00,32.5,50,0.0,34,0.67
2023-09-06T13:00,32.8,51,0.0,44,0.6
2023-09-06T14:00,33.0,50,0.0,75,0.55
2023-09-06T15:00,32.7,51,0.0,66,0.44
2023-09-06T16:00,32.2,52,0.0,82,0.3
2023-09-06T17:00,31.5,57,0.0,76,0.16
2023-09-06T18:00,30.1,66,0.0,68,0.05
2023-09-06T19:00,29.5,69,0.0,78,0.0
2023-09-06T20:00,28.7,72,0.0,53,0.01
2023-09-06T21:00,27.4,76,0.0,65,0.01
2023-09-06T22:00,26.6,78,0.0,68,0.0
2023-09-06T23:00,26.0,81,0.0,63,0.0
2023-09-07T00:00,25.6,81,0.0,73,0.0
2023-09-07T01:00,25.2,82,0.0,68,0.0
2023-09-07T02:00,24.9,83,0.0,57,0.0
2023-09-07T03:00,24.7,83,0.0,62,0.0
2023-09-07T04:00,24.5,83,0.0,71,0.0
2023-09-07T05:00,24.4,79,0.0,42,0.0
2023-09-07T06:00,24.2,77,0.0,47,0.03
2023-09-07T07:00,25.5,74,0.0,62,0.09
2023-09-07T08:00,28.5,71,0.0,59,0.21
2023-09-07T09:00,30.6,54,0.0,26,0.38
2023-09-07T10:00,31.6,53,0.0,9,0.55
2023-09-07T11:00,31.8,53,0.0,0,0.65
2023-09-07T12:00,32.5,54,0.0,15,0.69
2023-09-07T13:00,32.8,53,0.0,28,0.66
2023-09-07T14:00,32.9,53,0.0,23,0.58
2023-09-07T15:00,32.7,54,0.0,44,0.47
2023-09-07T16:00,32.2,55,0.0,43,0.33
2023-09-07T17:00,31.2,60,0.0,33,0.19
2023-09-07T18:00,29.4,70,0.0,0,0.05
2023-09-07T19:00,28.4,78,0.0,0,0.0
2023-09-07T20:00,27.8,79,0.0,0,0.0
2023-09-07T21:00,27.2,79,0.0,13,0.0
