latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
30.375,78.0,661.0,0,GMT,GMT

time,temperature_2m (°C),relativehumidity_2m (%),precipitation_probability (%),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),evapotranspiration (mm),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),windspeed_80m (km/h),windspeed_120m (km/h),windspeed_180m (km/h),windgusts_10m (km/h),temperature_80m (°C),temperature_120m (°C),temperature_180m (°C)
2022-12-01T00:00,12.4,75,NaN,0.00,1015.5,938.8,0,0,0,0,-0.00,0.00,0.36,2.9,4.6,4.7,5.0,4.3,17.3,16.7,15.9
2022-12-01T01:00,12.2,75,NaN,0.00,1015.9,939.2,0,0,0,0,-0.00,0.00,0.36,3.3,4.4,4.7,4.8,4.3,17.3,16.7,15.9
2022-12-01T02:00,12.5,73,NaN,0.00,1016.4,939.7,0,0,0,0,-0.00,0.02,0.39,3.7,4.4,4.2,4.7,4.7,17.3,16.6,15.8
2022-12-01T03:00,15.2,67,NaN,0.00,1016.6,940.6,0,0,0,0,-0.00,0.07,0.57,1.8,2.4,3.3,3.8,4.3,17.3,16.6,15.8
2022-12-01T04:00,17.7,68,NaN,0.00,1016.8,941.4,0,0,0,0,0.08,0.18,0.65,3.9,5.2,5.4,4.8,11.9,16.7,16.1,15.7
2022-12-01T05:00,19.0,69,NaN,0.00,1016.7,941.6,3,0,0,3,0.20,0.29,0.68,4.1,4.6,4.6,4.6,13.7,17.2,16.5,15.7
2022-12-01T06:00,20.1,67,NaN,0.00,1016.4,941.6,28,23,0,6,0.25,0.36,0.78,4.7,5.5,5.5,5.5,16.2,18.1,17.4,16.6
2022-12-01T07:00,20.9,66,NaN,0.00,1015.0,940.5,46,35,0,15,0.27,0.38,0.84,6.1,7.7,7.7,7.4,19.1,18.9,18.2,17.4
2022-12-01T08:00,21.5,64,NaN,0.00,1014.1,939.8,56,37,0,28,0.26,0.36,0.92,5.9,7.2,7.2,6.9,18.7,19.6,18.9,18.1
2022-12-01T09:00,21.3,65,NaN,0.00,1013.1,938.8,59,50,0,17,0.22,0.30,0.89,6.4,7.6,7.6,7.4,19.1,19.7,19.0,18.2
2022-12-01T10:00,20.7,66,NaN,0.00,1013.2,938.8,64,50,0,25,0.17,0.20,0.83,6.4,8.2,8.0,7.7,18.4,19.6,19.0,18.2
2022-12-01T11:00,19.6,72,NaN,0.00,1013.5,938.8,62,59,0,7,0.10,0.09,0.64,4.1,6.1,5.6,5.1,16.9,19.2,18.6,17.9
2022-12-01T12:00,17.9,78,NaN,0.00,1013.8,938.7,62,61,0,2,0.02,0.02,0.45,2.3,5.4,5.1,3.6,9.7,19.2,18.7,17.9
2022-12-01T13:00,16.8,79,NaN,0.00,1014.5,939.0,59,59,0,0,-0.00,0.00,0.40,3.3,0.5,0.8,0.8,4.0,18.9,18.4,17.6
2022-12-01T14:00,15.8,83,NaN,0.00,1015.0,939.2,60,60,0,0,-0.00,0.00,0.31,5.2,4.0,2.3,1.8,6.5,18.6,18.2,17.5
2022-12-01T15:00,14.3,90,NaN,0.00,1015.4,939.2,47,47,0,0,-0.00,0.00,0.16,4.4,4.2,2.5,1.5,7.2,18.4,18.0,17.2
2022-12-01T16:00,12.7,96,NaN,0.00,1015.8,939.2,41,40,0,1,-0.00,0.00,0.06,4.6,3.8,1.0,0.4,9.7,18.3,17.8,17.0
2022-12-01T17:00,12.2,94,NaN,0.00,1015.9,939.2,61,7,0,55,-0.00,0.00,0.09,5.1,3.4,1.8,0.7,9.4,18.3,17.6,16.9
2022-12-01T18:00,11.0,90,NaN,0.00,1016.7,939.6,34,0,0,34,-0.00,0.00,0.13,4.8,2.6,0.7,0.8,11.2,17.6,17.0,16.2
2022-12-01T19:00,10.8,85,NaN,0.00,1016.0,938.9,91,4,0,88,-0.00,0.00,0.19,4.6,1.5,0.8,1.4,8.6,17.5,16.8,16.1
2022-12-01T20:00,10.9,83,NaN,0.00,1015.7,938.7,98,21,9,95,-0.00,0.00,0.22,4.9,1.6,1.3,1.5,8.3,17.2,16.6,15.8
2022-12-01T21:00,10.8,84,NaN,0.00,1015.1,938.1,96,27,33,92,-0.00,0.00,0.21,4.9,1.8,0.4,0.4,8.6,17.0,16.4,15.6
2022-12-01T22:00,10.6,85,NaN,0.00,1015.2,938.1,100,30,27,100,-0.00,0.00,0.19,4.3,2.6,1.5,1.1,8.6,16.9,16.3,15.5
2022-12-01T23:00,10.6,85,NaN,0.00,1014.6,937.5,100,0,45,100,-0.00,0.00,0.19,4.3,3.6,2.5,2.3,8.6,16.9,16.3,15.5
2022-12-02T00:00,12.1,74,NaN,0.00,1015.0,938.3,100,0,100,100,-0.00,0.00,0.37,4.4,4.7,4.6,4.4,8.3,17.1,16.5,15.7
2022-12-02T01:00,12.2,73,NaN,0.00,1015.6,938.9,100,0,96,100,-0.00,0.00,0.38,4.2,5.0,4.6,4.5,6.5,17.1,16.4,15.6
2022-12-02T02:00,12.3,71,NaN,0.00,1015.8,939.1,91,0,0,91,-0.00,0.02,0.42,4.6,5.2,4.0,3.6,7.9,17.2,16.5,15.7
2022-12-02T03:00,14.0,70,NaN,0.00,1015.8,939.5,100,0,0,100,-0.00,0.06,0.48,1.8,2.7,3.0,2.9,7.6,17.2,16.5,15.8
2022-12-02T04:00,16.8,72,NaN,0.00,1015.9,940.3,100,0,0,100,0.05,0.14,0.54,2.4,4.4,5.5,4.0,6.8,16.7,16.1,15.6
2022-12-02T05:00,18.2,63,NaN,0.00,1016.0,940.8,100,0,0,100,0.16,0.24,0.78,4.3,5.1,5.1,5.1,13.0,16.7,16.0,15.2
2022-12-02T06:00,19.7,63,NaN,0.00,1015.7,940.9,100,9,0,100,0.21,0.31,0.85,5.4,6.1,6.1,5.9,13.7,17.8,17.1,16.3
2022-12-02T07:00,20.4,63,NaN,0.00,1014.3,939.7,100,25,0,100,0.25,0.36,0.89,6.4,7.9,7.9,7.6,19.1,18.4,17.7,16.9
2022-12-02T08:00,21.0,61,NaN,0.00,1013.9,939.5,100,31,0,100,0.24,0.33,0.97,5.9,7.1,7.1,7.1,18.7,19.2,18.5,17.7
